Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,COL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7729.001824,7730.563649,7888.053462,8154.446086,8467.483367,8745.973889,8768.105825,8913.238213,8814.366099,8306.289337,8413.221844,8421.362454,8501.425686,8704.944678,9040.15407,9338.730446,9844.154536,10389.29628,10602.24542,10611.33852,10956.94585,11650.19949,11996.21652,12430.64715,12887.59928,13114.57363,13207.46827,13186.20683,13332.87387,
Comoros,COM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580.500555,2370.551682,2498.64974,2500.284242,2301.732357,2319.027785,2227.080463,2255.327186,2224.719775,2209.807403,2388.511995,2384.738095,2381.945354,2374.794373,2363.575734,2373.420815,2378.692957,2340.94004,2376.756482,2394.43982,2426.182496,2465.324918,2483.409924,2533.443798,2525.726109,2494.27416,2490.648623,2500.569443,2513.665243,
Cabo Verde,CPV,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676.190288,1659.077947,1791.253217,1892.470928,2193.453862,2441.123933,2654.547445,2886.021745,3182.290709,3472.604736,3896.960628,3915.15868,4053.36763,4157.148025,4513.967435,4759.132611,5071.856825,5768.86952,6078.546806,5929.443775,5943.350347,6102.412164,6090.553798,6061.312057,6021.628363,6007.21829,6214.080234,6387.095706,6661.986166,
Costa Rica,CRI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7744.434687,7715.469019,8208.576867,8566.768947,8727.234571,8864.721889,8759.925546,9032.106378,9445.173878,9611.589182,9786.223773,9947.796329,10107.75176,10378.12804,10671.59176,10928.58488,11557.98951,12333.95623,12738.26129,12453.86196,12908.8322,13302.92828,13777.7572,13929.60838,14259.04652,14617.14867,15077.4901,15430.30863,15684.57374,
Caribbean small states,CSS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9111.015269,9233.08244,9432.132713,9645.441002,9828.051902,10019.19018,10275.83777,10525.67004,10755.53078,11120.30994,11467.49659,11644.0939,12022.99603,12739.34136,13208.91937,13615.55546,14523.11009,14926.04753,15061.58969,14438.61612,14570.02365,14631.88454,14712.76854,14815.88557,14759.72904,14837.89622,14391.22874,14318.66679,14461.84294,
Cuba,CUB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29245.26465,30124.94645,30207.57749,29676.32202,29229.59251,28686.37819,28416.45038,28548.91965,28808.81348,28469.76307,28134.88179,27907.86602,27638.76017,27110.18763,26442.682,26168.76667,25637.31042,25110.91477,,
Cayman Islands,CYM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82533.67488,80925.03431,78096.10936,75646.33967,74530.26061,73932.54221,72620.16015,75206.81982,76373.32141,76467.86202,73992.34433,66820.14542,63457.03699,62861.18158,62468.55971,62239.5275,62929.87453,63794.33788,64881.36647,65995.80985,,
Cyprus,CYP,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22471.85809,22059.5573,23499.56879,23099.4586,23961.57684,25523.71801,25433.75031,25738.0087,26978.00835,28011.15372,29368.06122,30201.55539,30968.99073,31397.47876,32537.46323,33628.68932,34631.25885,35630.05078,36013.61919,34353.16324,33913.29515,33192.3369,31749.56156,29977.91369,29912.19003,30673.30252,32002.23422,33047.54579,,
Czech Republic,CZE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20023.13599,17739.9967,17632.09962,17624.68478,18130.89102,19270.69939,20107.85346,20009.83181,19962.96129,20269.69866,21193.90171,21892.48253,22297.22475,23107.20388,24233.59699,25781.20471,27473.62712,28844.06719,29373.10923,27803.58716,28352.9494,28797.41796,28527.13873,28379.74612,29119.61661,30605.42052,31295.25952,32570.78118,33435.50918,
